State,Year,Enrolees
Alabama,1994,633
Alaska,1994,33
Arizona,1994,578
Arkansas,1994,416
California,1994,3582
Colorado,1994,413
Connecticut,1994,497
Delaware,1994,99
District$of$Columbia,1994,80
Florida,1994,2584
Georgia,1994,819
Hawaii,1994,146
Idaho,1994,146
Illinois,1994,1605
Indiana,1994,805
Iowa,1994,470
Kansas,1994,378
Kentucky,1994,578
Louisiana,1994,572
Maine,1994,198
Maryland,1994,596
Massachusetts,1994,924
Michigan,1994,1331
Minnesota,1994,625
Mississippi,1994,391
Missouri,1994,821
Montana,1994,128
Nebraska,1994,247
Nevada,1994,187
New$Hampshire,1994,152
New$Jersey,1994,1158
New$Mexico,1994,205
New$York,1994,2601
North$Carolina,1994,1001
North$Dakota,1994,101
Ohio,1994,1649
Oklahoma,1994,481
Oregon,1994,469
Pennsylvania,1994,2053
Rhode$Island,1994,166
South$Carolina,1994,497
South$Dakota,1994,114
Tennessee,1994,754
Texas,1994,2029
Utah,1994,182
Vermont,1994,82
Virginia,1994,803
Washington,1994,676
West$Virginia,1994,326
Wisconsin,1994,752
Wyoming,1994,58
Alabama,1995,642
Alaska,1995,34
Arizona,1995,598
Arkansas,1995,422
California,1995,3653
Colorado,1995,425
Connecticut,1995,504
Delaware,1995,102
District$of$Columbia,1995,80
Florida,1995,2633
Georgia,1995,841
Hawaii,1995,151
Idaho,1995,151
Illinois,1995,1620
Indiana,1995,817
Iowa,1995,473
Kansas,1995,382
Kentucky,1995,589
Louisiana,1995,581
Maine,1995,202
Maryland,1995,606
Massachusetts,1995,935
Michigan,1995,1347
Minnesota,1995,631
Mississippi,1995,398
Missouri,1995,827
Montana,1995,130
Nebraska,1995,250
Nevada,1995,197
New$Hampshire,1995,155
New$Jersey,1995,1171
New$Mexico,1995,211
New$York,1995,2623
North$Carolina,1995,1025
North$Dakota,1995,102
Ohio,1995,1670
Oklahoma,1995,487
Oregon,1995,475
Pennsylvania,1995,2072
Rhode$Island,1995,167
South$Carolina,1995,510
South$Dakota,1995,116
Tennessee,1995,770
Texas,1995,2079
Utah,1995,187
Vermont,1995,83
Virginia,1995,824
Washington,1995,691
West$Virginia,1995,330
Wisconsin,1995,758
Wyoming,1995,60
Alabama,1996,654
Alaska,1996,36
Arizona,1996,617
Arkansas,1996,427
California,1996,3724
Colorado,1996,435
Connecticut,1996,507
Delaware,1996,106
District$of$Columbia,1996,78
Florida,1996,2693
Georgia,1996,860
Hawaii,1996,154
Idaho,1996,155
Illinois,1996,1626
Indiana,1996,823
Iowa,1996,474
Kansas,1996,385
Kentucky,1996,598
Louisiana,1996,586
Maine,1996,206
Maryland,1996,615
Massachusetts,1996,946
Michigan,1996,1359
Minnesota,1996,636
Mississippi,1996,404
Missouri,1996,837
Montana,1996,131
Nebraska,1996,251
Nevada,1996,209
New$Hampshire,1996,158
New$Jersey,1996,1182
New$Mexico,1996,217
New$York,1996,2638
North$Carolina,1996,1049
North$Dakota,1996,102
Ohio,1996,1683
Oklahoma,1996,492
Oregon,1996,481
Pennsylvania,1996,2080
Rhode$Island,1996,168
South$Carolina,1996,523
South$Dakota,1996,117
Tennessee,1996,784
Texas,1996,2119
Utah,1996,193
Vermont,1996,85
Virginia,1996,840
Washington,1996,702
West$Virginia,1996,332
Wisconsin,1996,763
Wyoming,1996,61
Alabama,1997,661
Alaska,1997,37
Arizona,1997,633
Arkansas,1997,429
California,1997,3768
Colorado,1997,445
Connecticut,1997,510
Delaware,1997,108
District$of$Columbia,1997,77
Florida,1997,2732
Georgia,1997,876
Hawaii,1997,158
Idaho,1997,158
Illinois,1997,1625
Indiana,1997,827
Iowa,1997,477
Kansas,1997,385
Kentucky,1997,601
Louisiana,1997,591
Maine,1997,208
Maryland,1997,621
Massachusetts,1997,949
Michigan,1997,1364
Minnesota,1997,639
Mississippi,1997,408
Missouri,1997,845
Montana,1997,132
Nebraska,1997,251
Nevada,1997,219
New$Hampshire,1997,160
New$Jersey,1997,1191
New$Mexico,1997,221
New$York,1997,2646
North$Carolina,1997,1071
North$Dakota,1997,102
Ohio,1997,1691
Oklahoma,1997,496
Oregon,1997,484
Pennsylvania,1997,2080
Rhode$Island,1997,168
South$Carolina,1997,535
South$Dakota,1997,118
Tennessee,1997,793
Texas,1997,2158
Utah,1997,198
Vermont,1997,86
Virginia,1997,854
Washington,1997,709
West$Virginia,1997,333
Wisconsin,1997,766
Wyoming,1997,62
Alabama,1998,670
Alaska,1998,39
Arizona,1998,649
Arkansas,1998,429
California,1998,3812
Colorado,1998,455
Connecticut,1998,511
Delaware,1998,111
District$of$Columbia,1998,77
Florida,1998,2768
Georgia,1998,891
Hawaii,1998,161
Idaho,1998,161
Illinois,1998,1626
Indiana,1998,834
Iowa,1998,478
Kansas,1998,385
Kentucky,1998,606
Louisiana,1998,594
Maine,1998,211
Maryland,1998,630
Massachusetts,1998,950
Michigan,1998,1378
Minnesota,1998,643
Mississippi,1998,411
Missouri,1998,847
Montana,1998,133
Nebraska,1998,252
Nevada,1998,225
New$Hampshire,1998,164
New$Jersey,1998,1197
New$Mexico,1998,225
New$York,1998,2661
North$Carolina,1998,1091
North$Dakota,1998,102
Ohio,1998,1696
Oklahoma,1998,500
Oregon,1998,488
Pennsylvania,1998,2084
Rhode$Island,1998,169
South$Carolina,1998,545
South$Dakota,1998,118
Tennessee,1998,805
Texas,1998,2194
Utah,1998,201
Vermont,1998,87
Virginia,1998,867
Washington,1998,717
West$Virginia,1998,335
Wisconsin,1998,768
Wyoming,1998,64
Alabama,1999,678
Alaska,1999,40
Arizona,1999,661
Arkansas,1999,431
California,1999,3861
Colorado,1999,462
Connecticut,1999,515
Delaware,1999,112
District$of$Columbia,1999,76
Florida,1999,2793
Georgia,1999,910
Hawaii,1999,164
Idaho,1999,163
Illinois,1999,1622
Indiana,1999,838
Iowa,1999,475
Kansas,1999,385
Kentucky,1999,612
Louisiana,1999,595
Maine,1999,214
Maryland,1999,635
Massachusetts,1999,952
Michigan,1999,1385
Minnesota,1999,647
Mississippi,1999,414
Missouri,1999,852
Montana,1999,135
Nebraska,1999,253
Nevada,1999,235
New$Hampshire,1999,165
New$Jersey,1999,1201
New$Mexico,1999,230
New$York,1999,2674
North$Carolina,1999,1112
North$Dakota,1999,102
Ohio,1999,1697
Oklahoma,1999,503
Oregon,1999,490
Pennsylvania,1999,2082
Rhode$Island,1999,168
South$Carolina,1999,556
South$Dakota,1999,118
Tennessee,1999,815
Texas,1999,2226
Utah,1999,204
Vermont,1999,88
Virginia,1999,878
Washington,1999,724
West$Virginia,1999,336
Wisconsin,1999,770
Wyoming,1999,64
Alabama,2000,686
Alaska,2000,42
Arizona,2000,676
Arkansas,2000,434
California,2000,3922
Colorado,2000,470
Connecticut,2000,518
Delaware,2000,115
District$of$Columbia,2000,75
Florida,2000,2827
Georgia,2000,928
Hawaii,2000,168
Idaho,2000,167
Illinois,2000,1626
Indiana,2000,848
Iowa,2000,475
Kansas,2000,386
Kentucky,2000,618
Louisiana,2000,600
Maine,2000,216
Maryland,2000,646
Massachusetts,2000,961
Michigan,2000,1402
Minnesota,2000,655
Mississippi,2000,419
Missouri,2000,859
Montana,2000,137
Nebraska,2000,254
Nevada,2000,246
New$Hampshire,2000,169
New$Jersey,2000,1212
New$Mexico,2000,234
New$York,2000,2695
North$Carolina,2000,1131
North$Dakota,2000,102
Ohio,2000,1706
Oklahoma,2000,507
Oregon,2000,496
Pennsylvania,2000,2091
Rhode$Island,2000,170
South$Carolina,2000,570
South$Dakota,2000,118
Tennessee,2000,830
Texas,2000,2268
Utah,2000,209
Vermont,2000,89
Virginia,2000,896
Washington,2000,736
West$Virginia,2000,338
Wisconsin,2000,776
Wyoming,2000,66
Alabama,2001,698
Alaska,2001,44
Arizona,2001,692
Arkansas,2001,433
California,2001,3965
Colorado,2001,480
Connecticut,2001,519
Delaware,2001,117
District$of$Columbia,2001,75
Florida,2001,2865
Georgia,2001,944
Hawaii,2001,171
Idaho,2001,170
Illinois,2001,1633
Indiana,2001,852
Iowa,2001,475
Kansas,2001,386
Kentucky,2001,627
Louisiana,2001,605
Maine,2001,219
Maryland,2001,655
Massachusetts,2001,959
Michigan,2001,1412
Minnesota,2001,660
Mississippi,2001,424
Missouri,2001,866
Montana,2001,138
Nebraska,2001,256
Nevada,2001,258
New$Hampshire,2001,171
New$Jersey,2001,1215
New$Mexico,2001,238
New$York,2001,2707
North$Carolina,2001,1157
North$Dakota,2001,103
Ohio,2001,1711
Oklahoma,2001,511
Oregon,2001,503
Pennsylvania,2001,2092
Rhode$Island,2001,170
South$Carolina,2001,581
South$Dakota,2001,118
Tennessee,2001,846
Texas,2001,2304
Utah,2001,211
Vermont,2001,91
Virginia,2001,912
Washington,2001,750
West$Virginia,2001,340
Wisconsin,2001,780
Wyoming,2001,67
Alabama,2002,709
Alaska,2002,45
Arizona,2002,707
Arkansas,2002,438
California,2002,4004
Colorado,2002,487
Connecticut,2002,520
Delaware,2002,120
District$of$Columbia,2002,75
Florida,2002,2900
Georgia,2002,963
Hawaii,2002,174
Idaho,2002,174
Illinois,2002,1641
Indiana,2002,858
Iowa,2002,477
Kansas,2002,387
Kentucky,2002,637
Louisiana,2002,612
Maine,2002,223
Maryland,2002,665
Massachusetts,2002,958
Michigan,2002,1420
Minnesota,2002,667
Mississippi,2002,428
Missouri,2002,875
Montana,2002,140
Nebraska,2002,258
Nevada,2002,269
New$Hampshire,2002,175
New$Jersey,2002,1219
New$Mexico,2002,243
New$York,2002,2722
North$Carolina,2002,1180
North$Dakota,2002,103
Ohio,2002,1719
Oklahoma,2002,517
Oregon,2002,512
Pennsylvania,2002,2098
Rhode$Island,2002,170
South$Carolina,2002,592
South$Dakota,2002,119
Tennessee,2002,861
Texas,2002,2342
Utah,2002,216
Vermont,2002,92
Virginia,2002,929
Washington,2002,762
West$Virginia,2002,342
Wisconsin,2002,788
Wyoming,2002,68
Alabama,2003,724
Alaska,2003,47
Arizona,2003,730
Arkansas,2003,443
California,2003,4066
Colorado,2003,499
Connecticut,2003,524
Delaware,2003,122
District$of$Columbia,2003,74
Florida,2003,2955
Georgia,2003,984
Hawaii,2003,178
Idaho,2003,179
Illinois,2003,1657
Indiana,2003,873
Iowa,2003,479
Kansas,2003,390
Kentucky,2003,647
Louisiana,2003,621
Maine,2003,227
Maryland,2003,676
Massachusetts,2003,961
Michigan,2003,1438
Minnesota,2003,676
Mississippi,2003,438
Missouri,2003,888
Montana,2003,144
Nebraska,2003,260
Nevada,2003,282
New$Hampshire,2003,180
New$Jersey,2003,1224
New$Mexico,2003,249
New$York,2003,2735
North$Carolina,2003,1208
North$Dakota,2003,103
Ohio,2003,1734
Oklahoma,2003,523
Oregon,2003,524
Pennsylvania,2003,2108
Rhode$Island,2003,171
South$Carolina,2003,607
South$Dakota,2003,120
Tennessee,2003,879
Texas,2003,2404
Utah,2003,221
Vermont,2003,93
Virginia,2003,949
Washington,2003,778
West$Virginia,2003,344
Wisconsin,2003,798
Wyoming,2003,69
Alabama,2004,734
Alaska,2004,50
Arizona,2004,763
Arkansas,2004,461
California,2004,4122
Colorado,2004,507
Connecticut,2004,523
Delaware,2004,123
District$of$Columbia,2004,73
Florida,2004,2997
Georgia,2004,1000
Hawaii,2004,178
Idaho,2004,185
Illinois,2004,1673
Indiana,2004,889
Iowa,2004,485
Kansas,2004,398
Kentucky,2004,661
Louisiana,2004,628
Maine,2004,231
Maryland,2004,683
Massachusetts,2004,965
Michigan,2004,1462
Minnesota,2004,686
Mississippi,2004,446
Missouri,2004,897
Montana,2004,145
Nebraska,2004,259
Nevada,2004,287
New$Hampshire,2004,186
New$Jersey,2004,1220
New$Mexico,2004,258
New$York,2004,2759
North$Carolina,2004,1240
North$Dakota,2004,103
Ohio,2004,1738
Oklahoma,2004,530
Oregon,2004,527
Pennsylvania,2004,2117
Rhode$Island,2004,172
South$Carolina,2004,627
South$Dakota,2004,123
Tennessee,2004,894
Texas,2004,2458
Utah,2004,228
Vermont,2004,94
Virginia,2004,967
Washington,2004,797
West$Virginia,2004,350
Wisconsin,2004,814
Wyoming,2004,70
Alabama,2005,755
Alaska,2005,52
Arizona,2005,794
Arkansas,2005,472
California,2005,4201
Colorado,2005,522
Connecticut,2005,525
Delaware,2005,128
District$of$Columbia,2005,73
Florida,2005,3046
Georgia,2005,1039
Hawaii,2005,182
Idaho,2005,192
Illinois,2005,1691
Indiana,2005,905
Iowa,2005,490
Kansas,2005,402
Kentucky,2005,678
Louisiana,2005,610
Maine,2005,235
Maryland,2005,695
Massachusetts,2005,971
Michigan,2005,1483
Minnesota,2005,698
Mississippi,2005,454
Missouri,2005,912
Montana,2005,148
Nebraska,2005,261
Nevada,2005,297
New$Hampshire,2005,192
New$Jersey,2005,1227
New$Mexico,2005,267
New$York,2005,2776
North$Carolina,2005,1277
North$Dakota,2005,104
Ohio,2005,1754
Oklahoma,2005,541
Oregon,2005,540
Pennsylvania,2005,2132
Rhode$Island,2005,172
South$Carolina,2005,651
South$Dakota,2005,125
Tennessee,2005,922
Texas,2005,2545
Utah,2005,237
Vermont,2005,96
Virginia,2005,993
Washington,2005,821
West$Virginia,2005,355
Wisconsin,2005,826
Wyoming,2005,71
Alabama,2006,772
Alaska,2006,54
Arizona,2006,815
Arkansas,2006,485
California,2006,4275
Colorado,2006,540
Connecticut,2006,530
Delaware,2006,132
District$of$Columbia,2006,74
Florida,2006,3080
Georgia,2006,1075
Hawaii,2006,185
Idaho,2006,200
Illinois,2006,1713
Indiana,2006,923
Iowa,2006,495
Kansas,2006,406
Kentucky,2006,695
Louisiana,2006,624
Maine,2006,241
Maryland,2006,708
Massachusetts,2006,982
Michigan,2006,1511
Minnesota,2006,713
Mississippi,2006,462
Missouri,2006,930
Montana,2006,152
Nebraska,2006,264
Nevada,2006,307
New$Hampshire,2006,198
New$Jersey,2006,1242
New$Mexico,2006,276
New$York,2006,2805
North$Carolina,2006,1318
North$Dakota,2006,104
Ohio,2006,1778
Oklahoma,2006,554
Oregon,2006,553
Pennsylvania,2006,2156
Rhode$Island,2006,174
South$Carolina,2006,674
South$Dakota,2006,127
Tennessee,2006,949
Texas,2006,2626
Utah,2006,246
Vermont,2006,99
Virginia,2006,1018
Washington,2006,847
West$Virginia,2006,361
Wisconsin,2006,840
Wyoming,2006,72
Alabama,2007,789
Alaska,2007,57
Arizona,2007,841
Arkansas,2007,496
California,2007,4369
Colorado,2007,558
Connecticut,2007,537
Delaware,2007,136
District$of$Columbia,2007,74
Florida,2007,3133
Georgia,2007,1111
Hawaii,2007,189
Idaho,2007,207
Illinois,2007,1741
Indiana,2007,941
Iowa,2007,500
Kansas,2007,412
Kentucky,2007,711
Louisiana,2007,639
Maine,2007,247
Maryland,2007,723
Massachusetts,2007,997
Michigan,2007,1541
Minnesota,2007,729
Mississippi,2007,469
Missouri,2007,946
Montana,2007,156
Nebraska,2007,268
Nevada,2007,318
New$Hampshire,2007,204
New$Jersey,2007,1257
New$Mexico,2007,285
New$York,2007,2841
North$Carolina,2007,1359
North$Dakota,2007,105
Ohio,2007,1805
Oklahoma,2007,565
Oregon,2007,567
Pennsylvania,2007,2184
Rhode$Island,2007,175
South$Carolina,2007,697
South$Dakota,2007,129
Tennessee,2007,975
Texas,2007,2708
Utah,2007,254
Vermont,2007,102
Virginia,2007,1045
Washington,2007,873
West$Virginia,2007,367
Wisconsin,2007,854
Wyoming,2007,74
Alabama,2008,809
Alaska,2008,60
Arizona,2008,870
Arkansas,2008,509
California,2008,4492
Colorado,2008,579
Connecticut,2008,549
Delaware,2008,141
District$of$Columbia,2008,75
Florida,2008,3212
Georgia,2008,1153
Hawaii,2008,194
Idaho,2008,214
Illinois,2008,1775
Indiana,2008,964
Iowa,2008,506
Kansas,2008,418
Kentucky,2008,728
Louisiana,2008,656
Maine,2008,253
Maryland,2008,745
Massachusetts,2008,1019
Michigan,2008,1580
Minnesota,2008,749
Mississippi,2008,479
Missouri,2008,966
Montana,2008,160
Nebraska,2008,271
Nevada,2008,330
New$Hampshire,2008,212
New$Jersey,2008,1283
New$Mexico,2008,294
New$York,2008,2891
North$Carolina,2008,1405
North$Dakota,2008,107
Ohio,2008,1841
Oklahoma,2008,578
Oregon,2008,584
Pennsylvania,2008,2221
Rhode$Island,2008,178
South$Carolina,2008,724
South$Dakota,2008,132
Tennessee,2008,1004
Texas,2008,2802
Utah,2008,264
Vermont,2008,105
Virginia,2008,1079
Washington,2008,903
West$Virginia,2008,373
Wisconsin,2008,874
Wyoming,2008,76
Alabama,2009,828
Alaska,2009,63
Arizona,2009,899
Arkansas,2009,520
California,2009,4620
Colorado,2009,602
Connecticut,2009,558
Delaware,2009,145
District$of$Columbia,2009,77
Florida,2009,3289
Georgia,2009,1194
Hawaii,2009,200
Idaho,2009,222
Illinois,2009,1806
Indiana,2009,985
Iowa,2009,512
Kansas,2009,425
Kentucky,2009,743
Louisiana,2009,671
Maine,2009,259
Maryland,2009,764
Massachusetts,2009,1039
Michigan,2009,1615
Minnesota,2009,767
Mississippi,2009,488
Missouri,2009,985
Montana,2009,165
Nebraska,2009,276
Nevada,2009,343
New$Hampshire,2009,217
New$Jersey,2009,1304
New$Mexico,2009,304
New$York,2009,2937
North$Carolina,2009,1448
North$Dakota,2009,108
Ohio,2009,1870
Oklahoma,2009,592
Oregon,2009,602
Pennsylvania,2009,2252
Rhode$Island,2009,180
South$Carolina,2009,749
South$Dakota,2009,134
Tennessee,2009,1031
Texas,2009,2900
Utah,2009,274
Vermont,2009,108
Virginia,2009,1110
Washington,2009,938
West$Virginia,2009,377
Wisconsin,2009,892
Wyoming,2009,78
Alabama,2010,845
Alaska,2010,66
Arizona,2010,930
Arkansas,2010,531
California,2010,4757
Colorado,2010,625
Connecticut,2010,568
Delaware,2010,149
District$of$Columbia,2010,78
Florida,2010,3375
Georgia,2010,1236
Hawaii,2010,206
Idaho,2010,230
Illinois,2010,1839
Indiana,2010,1006
Iowa,2010,517
Kansas,2010,433
Kentucky,2010,760
Louisiana,2010,687
Maine,2010,265
Maryland,2010,785
Massachusetts,2010,1061
Michigan,2010,1651
Minnesota,2010,786
Mississippi,2010,497
Missouri,2010,1004
Montana,2010,170
Nebraska,2010,279
Nevada,2010,357
New$Hampshire,2010,223
New$Jersey,2010,1327
New$Mexico,2010,313
New$York,2010,2988
North$Carolina,2010,1490
North$Dakota,2010,109
Ohio,2010,1901
Oklahoma,2010,603
Oregon,2010,621
Pennsylvania,2010,2283
Rhode$Island,2010,183
South$Carolina,2010,774
South$Dakota,2010,137
Tennessee,2010,1058
Texas,2010,3001
Utah,2010,283
Vermont,2010,112
Virginia,2010,1141
Washington,2010,972
West$Virginia,2010,382
Wisconsin,2010,911
Wyoming,2010,80
Alabama,2011,864
Alaska,2011,69
Arizona,2011,962
Arkansas,2011,542
California,2011,4901
Colorado,2011,650
Connecticut,2011,577
Delaware,2011,154
District$of$Columbia,2011,80
Florida,2011,3472
Georgia,2011,1281
Hawaii,2011,213
Idaho,2011,238
Illinois,2011,1872
Indiana,2011,1027
Iowa,2011,523
Kansas,2011,439
Kentucky,2011,777
Louisiana,2011,703
Maine,2011,271
Maryland,2011,807
Massachusetts,2011,1085
Michigan,2011,1689
Minnesota,2011,804
Mississippi,2011,507
Missouri,2011,1022
Montana,2011,174
Nebraska,2011,283
Nevada,2011,372
New$Hampshire,2011,229
New$Jersey,2011,1352
New$Mexico,2011,322
New$York,2011,3041
North$Carolina,2011,1533
North$Dakota,2011,110
Ohio,2011,1934
Oklahoma,2011,615
Oregon,2011,640
Pennsylvania,2011,2312
Rhode$Island,2011,186
South$Carolina,2011,799
South$Dakota,2011,139
Tennessee,2011,1086
Texas,2011,3104
Utah,2011,292
Vermont,2011,115
Virginia,2011,1173
Washington,2011,1005
West$Virginia,2011,386
Wisconsin,2011,931
Wyoming,2011,82
Alabama,2012,896
Alaska,2012,73
Arizona,2012,1009
Arkansas,2012,559
California,2012,5111
Colorado,2012,688
Connecticut,2012,595
Delaware,2012,161
District$of$Columbia,2012,82
Florida,2012,3621
Georgia,2012,1351
Hawaii,2012,222
Idaho,2012,250
Illinois,2012,1935
Indiana,2012,1065
Iowa,2012,537
Kansas,2012,454
Kentucky,2012,804
Louisiana,2012,729
Maine,2012,282
Maryland,2012,845
Massachusetts,2012,1126
Michigan,2012,1754
Minnesota,2012,836
Mississippi,2012,524
Missouri,2012,1058
Montana,2012,182
Nebraska,2012,291
Nevada,2012,394
New$Hampshire,2012,241
New$Jersey,2012,1398
New$Mexico,2012,336
New$York,2012,3138
North$Carolina,2012,1604
North$Dakota,2012,112
Ohio,2012,2003
Oklahoma,2012,636
Oregon,2012,672
Pennsylvania,2012,2385
Rhode$Island,2012,191
South$Carolina,2012,840
South$Dakota,2012,143
Tennessee,2012,1133
Texas,2012,3256
Utah,2012,307
Vermont,2012,120
Virginia,2012,1227
Washington,2012,1056
West$Virginia,2012,397
Wisconsin,2012,966
Wyoming,2012,86
Alabama,2013,922
Alaska,2013,76
Arizona,2013,1051
Arkansas,2013,572
California,2013,5294
Colorado,2013,722
Connecticut,2013,608
Delaware,2013,168
District$of$Columbia,2013,84
Florida,2013,3757
Georgia,2013,1411
Hawaii,2013,230
Idaho,2013,261
Illinois,2013,1982
Indiana,2013,1094
Iowa,2013,549
Kansas,2013,465
Kentucky,2013,826
Louisiana,2013,751
Maine,2013,291
Maryland,2013,876
Massachusetts,2013,1158
Michigan,2013,1805
Minnesota,2013,862
Mississippi,2013,537
Missouri,2013,1086
Montana,2013,188
Nebraska,2013,298
Nevada,2013,414
New$Hampshire,2013,250
New$Jersey,2013,1430
New$Mexico,2013,349
New$York,2013,3211
North$Carolina,2013,1663
North$Dakota,2013,114
Ohio,2013,2055
Oklahoma,2013,650
Oregon,2013,700
Pennsylvania,2013,2437
Rhode$Island,2013,196
South$Carolina,2013,875
South$Dakota,2013,147
Tennessee,2013,1170
Texas,2013,3388
Utah,2013,320
Vermont,2013,124
Virginia,2013,1269
Washington,2013,1100
West$Virginia,2013,404
Wisconsin,2013,994
Wyoming,2013,89
Alabama,2014,947
Alaska,2014,80
Arizona,2014,1096
Arkansas,2014,584
California,2014,5476
Colorado,2014,755
Connecticut,2014,619
Delaware,2014,175
District$of$Columbia,2014,87
Florida,2014,3900
Georgia,2014,1469
Hawaii,2014,237
Idaho,2014,271
Illinois,2014,2026
Indiana,2014,1124
Iowa,2014,561
Kansas,2014,477
Kentucky,2014,846
Louisiana,2014,772
Maine,2014,299
Maryland,2014,905
Massachusetts,2014,1189
Michigan,2014,1853
Minnesota,2014,888
Mississippi,2014,549
Missouri,2014,1113
Montana,2014,195
Nebraska,2014,306
Nevada,2014,435
New$Hampshire,2014,259
New$Jersey,2014,1462
New$Mexico,2014,361
New$York,2014,3278
North$Carolina,2014,1719
North$Dakota,2014,117
Ohio,2014,2108
Oklahoma,2014,665
Oregon,2014,728
Pennsylvania,2014,2489
Rhode$Island,2014,200
South$Carolina,2014,910
South$Dakota,2014,152
Tennessee,2014,1206
Texas,2014,3516
Utah,2014,333
Vermont,2014,128
Virginia,2014,1311
Washington,2014,1146
West$Virginia,2014,411
Wisconsin,2014,1023
Wyoming,2014,92
